Title,Grade,CourseType,PrimaryCMI,SecondaryCMI,OptionalCMI,PrimaryMLG,SecondaryMLG,OptionalMLG,THCredit,PWLCredit,TrainingObjectivesJson
1.1.1 History,Grade 10,TH,Diki,Ghata,,,,,3,0,
2.1.1 Atmosphere,Grade 10,BOTH,Ayu,Rahmat,,,,,2,1,
2.1.2 Heat tsfr,Grade 10,BOTH,Ayu,Rahmat,,,,,1,3,
2.1.3 Air mass,Grade 10,TH,Ayu,Rahmat,,,,,1,0,
2.1.4 Clouds,Grade 10,BOTH,Ayu,Rahmat,,,,,1,1,
2.1.5 Winds,Grade 10,BOTH,Ayu,Rahmat,,,,,1,1,
2.1.6 Dangerous,Grade 10,BOTH,Ayu,Rahmat,,,,,1,1,
2.2.1 Aerostatics,Grade 10,TH,Ayu,Rahmat,,,,,1,0,
2.3.1 Intro,Grade 10,TH,Ayu,Rahmat,,,,,1,0,
2.3.2 Flow airfoil,Grade 10,BOTH,Ayu,Rahmat,,,,,1,2,"[{""category"": ""SCIENTIFIC LITERACY"", ""text"": ""Know and understand how airflow behaves around an airfoil.""}, {""category"": ""TECHNOLOGY"", ""text"": ""Understand how airflow separation affects lift and drag.""}, {""category"": ""GENERAL AVIATION"", ""text"": ""Identify the practical consequences of flow separation in flight.""}]"
2.3.3 Boundary layer,Grade 10,BOTH,Ayu,Rahmat,,,,,1,1,
2.3.4 Profile,Grade 10,BOTH,Ayu,Rahmat,,,,,1,1,
2.4.1 Theory of lfight,Grade 10,TH,Ayu,Rahmat,,,,,3,0,
2.5.1 A/C diversity,Grade 10,BOTH,Ayu,Rahmat,,,,,2,2,
3A.1.1 History design,Grade 10,TH,Gita,Rizky,,,,,4,0,
3A.2.1 Design,Grade 10,TH,Gita,Rizky,,,,,2,0,
7A.1.5 Jobs,Grade 10,TH,Diki,Ghata,Kartika,,,,2,0,
7A.1.6 Jobs,Grade 10,TH,Diki,Ghata,Kartika,,,,2,0,
4A.1.1 Types ENG,Grade 10,TH,Ayu,Rahmat,,,,,2,0,
4A.1.2 Act react,Grade 10,BOTH,Ayu,Rahmat,,,,,1,2,
4A.1.3 Component,Grade 10,BOTH,Ayu,Rahmat,,,,,1,2,
4A.1.4 Power up,Grade 10,TH,Ayu,Rahmat,,,,,1,0,
4A.1.5 Lub and fuel,Grade 10,TH,Ayu,Rahmat,,,,,1,0,
4A.1.6 Indicating,Grade 10,BOTH,Ayu,Rahmat,,,,,1,2,
4A.2.1 General,Grade 10,TH,Ayu,Rahmat,,,,,1,0,
4A.2.2 Main,Grade 10,BOTH,Ayu,Rahmat,,,,,1,2,
4A.2.3 Method,Grade 10,BOTH,Ayu,Rahmat,,,,,1,2,
4A.3.1 Main,Grade 10,BOTH,Ayu,Rahmat,,,,,1,2,
4A.3.2 Corrosion,Grade 10,TH,Ayu,Rahmat,,,,,1,0,
4A.3.3 Hardware,Grade 10,BOTH,Ayu,Rahmat,,,,,1,3,
5A.1.1 Cockpit,Grade 10,BOTH,Rizky,Ghata,,,,,4,4,
5A.1.2 FCS,Grade 10,TH,Rizky,Ghata,,,,,3,0,
5A.2.1 Baro inst,Grade 10,BOTH,Rizky,Ghata,,,,,2,4,
5A.2.2 Analog digi,Grade 10,BOTH,Rizky,Ghata,,,,,4,4,
6A.1.1 Nav rule,Grade 10,BOTH,Gita,Ghata,Kartika,,,,2,2,
6A.1.2 Principle,Grade 10,BOTH,Gita,Ghata,Kartika,,,,2,3,
6A.2.1 Organisation,Grade 10,TH,Gita,Ghata,Kartika,,,,1,0,
6A.2.2 Hazards,Grade 10,BOTH,Gita,Ghata,Kartika,,,,1,4,
6A.2.3 HF,Grade 10,BOTH,Gita,Ghata,Kartika,,,,2,3,
7A.1.1 jobs,Grade 10,TH,Diki,Ghata,Kartika,,,,2,0,
7A.1.2 Jobs,Grade 10,TH,Diki,Ghata,Kartika,,,,2,0,
7A.1.3 Jobs,Grade 10,TH,Diki,Ghata,Kartika,,,,2,0,
7A.1.4 Jobs,Grade 10,TH,Diki,Ghata,Kartika,,,,2,0,
3B.1.1 Basic of design,Grade 11,BOTH,Rizky,Gita,,,,,1,5,
3B.1.2 Design eng.,Grade 11,BOTH,Rizky,Gita,,,,,2,1,"[{""category"": ""TECHNOLOGY"", ""text"": ""Understand the main steps of an aircraft design engineering process.""}, {""category"": ""INNOVATION"", ""text"": ""Apply advanced techniques in 3D modeling to a design project.""}, {""category"": ""CRITICAL SKILLS"", ""text"": ""Consider safety requirements when proposing a design during a project.""}]"
3B.2.1 Meteorological,Grade 11,BOTH,Rizky,Gita,,,,,2,2,
3B.2.2 Aerodynamic,Grade 11,BOTH,Rizky,Gita,,,,,2,2,
3B.2.3 Regulation,Grade 11,TH,Rizky,Gita,,,,,1,0,
3B.3.1 Technique in 3D,Grade 11,BOTH,Rizky,Gita,,,,,1,1,
3B.3.2 Basic project CAD,Grade 11,TH,Rizky,Gita,,,,,1,1,
4B.1.1 Composite material,Grade 11,TH,Ayu,Rahmat,,,,,1,0,
4B.1.2 Material selection,Grade 11,BOTH,Ayu,Rahmat,,,,,1,3,
4B.1.3 Ferrous and other,Grade 11,BOTH,Ayu,Rahmat,,,,,1,2,
4B.2.1 Fateners,Grade 11,BOTH,Ghata,Kartika,,,,,1,2,
4B.2.2 Electrical Cables,Grade 11,BOTH,Ghata,Kartika,,,,,1,2,
4B.3.1 Flight controls,Grade 11,BOTH,Rizky,Gita,,,,,1,1,
4B.3.2 Fuel system,Grade 11,BOTH,Rizky,Gita,,,,,1,1,
4B.3.3 Hydraulic power,Grade 11,BOTH,Rizky,Gita,,,,,1,1,
4B.3.4 Landing gear,Grade 11,TH,Rizky,Gita,,,,,1,2,
4B.3.5 Ice and rain prot.,Grade 11,BOTH,Rizky,Gita,,,,,1,2,
4B.3.6 Oxygen,Grade 11,BOTH,Rizky,Gita,,,,,1,1,
